,complexity,loss,equation,score,sympy_format,lambda_format
0,1,2.8796532e-09,1.8777648e-7,0.0,1.87776480000000e-7,PySRFunction(X=>1.87776480000000E-7)
1,3,1.295632e-10,x1 * 1.31086e-5,1.5506281781166877,x1*1.31086e-5,PySRFunction(X=>x1*1.31086e-5)
2,5,8.1990574e-11,(x1 + x0) * 1.3200884e-5,0.22878225177096884,(x0 + x1)*1.3200884e-5,PySRFunction(X=>(x0 + x1)*1.3200884e-5)
3,7,3.3821484e-11,(x0 * 4.5105677e-5) + (x1 * 1.3090967e-5),0.4427540337841276,x0*4.5105677e-5 + x1*1.3090967e-5,PySRFunction(X=>x0*4.5105677e-5 + x1*1.3090967e-5)
4,9,2.8651298e-11,(x0 * 4.78922e-5) + ((x1 * 1.3157611e-5) + 2.577824e-6),0.08294873716223818,x0*4.78922e-5 + x1*1.3157611e-5 + 2.577824e-6,PySRFunction(X=>x0*4.78922e-5 + x1*1.3157611e-5 + 2.577824e-6)
5,11,9.3498265e-12,(x0 + (x1 * (x2 + (x0 * 0.18319413)))) * 4.4943634e-5,0.559920480282958,(x0 + x1*(x0*0.18319413 + x2))*4.4943634e-5,PySRFunction(X=>(x0 + x1*(x0*0.18319413 + x2))*4.4943634e-5)
6,13,2.406331e-12,(x1 + (((x0 * 8.244967) + x1) * (x0 + 0.9023668))) * 7.0632586e-6,0.6786273030768197,(x1 + (x0 + 0.9023668)*(x0*8.244967 + x1))*7.0632586e-6,PySRFunction(X=>(x1 + (x0 + 0.9023668)*(x0*8.244967 + x1))*7.0632586e-6)
7,15,2.1186646e-12,(x1 + (x0 + ((x1 + (x0 * 7.271403)) * (x0 + 0.80064225)))) * 7.4750283e-6,0.06365859813771678,(x0 + x1 + (x0 + 0.80064225)*(x0*7.271403 + x1))*7.4750283e-6,PySRFunction(X=>(x0 + x1 + (x0 + 0.80064225)*(x0*7.271403 + x1))*7.4750283e-6)
8,17,1.827056e-12,(x0 + (x0 + (((x1 + (x0 * 6.727071)) * (x0 + 0.6525673)) + x1))) * 8.152514e-6,0.07404002814124966,(x0 + x0 + x1 + (x0 + 0.6525673)*(x0*6.727071 + x1))*8.152514e-6,PySRFunction(X=>(x0 + x0 + x1 + (x0 + 0.6525673)*(x0*6.727071 + x1))*8.152514e-6)
9,19,1.826523e-12,((x0 + (x0 + (x1 + -0.0032260104))) + (((x0 * 6.727071) + x1) * (x0 + 0.6525673))) * 8.152546e-6,0.00014588435169486953,(x0 + x0 + x1 + (x0 + 0.6525673)*(x0*6.727071 + x1) - 0.0032260104)*8.152546e-6,PySRFunction(X=>(x0 + x0 + x1 + (x0 + 0.6525673)*(x0*6.727071 + x1) - 0.0032260104)*8.152546e-6)
10,21,1.7669116e-12,((x0 + ((((x0 * ((x0 * x4) + 6.9290915)) + x1) * (x0 + 0.6248048)) + x0)) + x1) * 8.293874e-6,0.01659049788708933,(x0 + x0 + x1 + (x0 + 0.6248048)*(x0*(x0*x4 + 6.9290915) + x1))*8.293874e-6,PySRFunction(X=>(x0 + x0 + x1 + (x0 + 0.6248048)*(x0*(x0*x4 + 6.9290915) + x1))*8.293874e-6)
11,29,1.6067772e-12,(((x0 + (x0 + x0)) + ((x0 * x0) * ((x1 * x0) * -2.5095756))) + (((x1 + (x0 * 5.724412)) * (x0 + 0.42888105)) + x1)) * 9.420882e-6,0.01187534126013006,(x0*x0*x1*x0*(-2.5095756) + x0 + x0 + x0 + x1 + (x0 + 0.42888105)*(x0*5.724412 + x1))*9.420882e-6,PySRFunction(X=>(x0*x0*x1*x0*(-2.5095756) + x0 + x0 + x0 + x1 + (x0 + 0.42888105)*(x0*5.724412 + x1))*9.420882e-6)
12,31,1.5777013e-12,((x0 + (((x0 + 0.42888105) * (x1 + (x0 * 5.724412))) + (x0 + x1))) + (((x0 * ((x1 + x0) * -2.614489)) * (x0 * x0)) + x0)) * 9.4174775e-6,0.00913075972165075,(x0*(x0 + x1)*(-2.614489)*x0*x0 + x0 + x0 + x0 + x1 + (x0 + 0.42888105)*(x0*5.724412 + x1))*9.4174775e-6,PySRFunction(X=>(x0*(x0 + x1)*(-2.614489)*x0*x0 + x0 + x0 + x0 + x1 + (x0 + 0.42888105)*(x0*5.724412 + x1))*9.4174775e-6)
13,33,1.5299695e-12,(((x0 + ((x1 + (x0 * 1.2317786)) + x0)) + ((x0 + 0.42888105) * (x1 + (x0 * 5.724412)))) + (x0 * (x0 * ((x1 + 0.7907064) * (x0 * -2.5095756))))) * 9.414553e-6,0.01536055685004451,(x0*x0*(x1 + 0.7907064)*x0*(-2.5095756) + x0 + x0 + x0*1.2317786 + x1 + (x0 + 0.42888105)*(x0*5.724412 + x1))*9.414553e-6,PySRFunction(X=>(x0*x0*(x1 + 0.7907064)*x0*(-2.5095756) + x0 + x0 + x0*1.2317786 + x1 + (x0 + 0.42888105)*(x0*5.724412 + x1))*9.414553e-6)
14,35,1.4929595e-12,((((x0 * (x0 * ((x0 + x1) + 1.0159234))) * (x0 * -2.5095756)) + (((x0 + 0.42888105) * (x1 + (x0 * 5.724412))) + x1)) + (((x0 * 1.2317786) + x0) + x0)) * 9.417141e-6,0.012243704483379834,(x0*x0*(x0 + x1 + 1.0159234)*x0*(-2.5095756) + x0 + x0 + x0*1.2317786 + x1 + (x0 + 0.42888105)*(x0*5.724412 + x1))*9.417141e-6,PySRFunction(X=>(x0*x0*(x0 + x1 + 1.0159234)*x0*(-2.5095756) + x0 + x0 + x0*1.2317786 + x1 + (x0 + 0.42888105)*(x0*5.724412 + x1))*9.417141e-6)
15,37,1.4689799e-12,(((x0 * x0) * (((x0 + x0) + (x1 + 1.3622901)) * (x0 * -2.5095756))) + (((x0 + 0.42888105) * (x1 + (x0 * 5.724412))) + (x1 + (((x0 * 1.2317786) + x0) + x0)))) * 9.417141e-6,0.008096088638816645,(x0*x0*(x0 + x0 + x1 + 1.3622901)*x0*(-2.5095756) + x0 + x0 + x0*1.2317786 + x1 + (x0 + 0.42888105)*(x0*5.724412 + x1))*9.417141e-6,PySRFunction(X=>(x0*x0*(x0 + x0 + x1 + 1.3622901)*x0*(-2.5095756) + x0 + x0 + x0*1.2317786 + x1 + (x0 + 0.42888105)*(x0*5.724412 + x1))*9.417141e-6)
16,39,1.4505413e-12,(x2 * (3.1552463e-5 * ((x0 + x0) + ((x1 + (x0 * ((x0 * (((x0 + (x1 + x0)) + 1.3950541) * x0)) * -2.7320342))) + ((x0 + 0.4205161) * (x1 + (x0 * 5.7252407))))))) + (x0 * 1.2725003e-5),0.006315708603195061,x0*1.2725003e-5 + x2*3.1552463e-5*(x0*x0*(x0 + x0 + x1 + 1.3950541)*x0*(-2.7320342) + x0 + x0 + x1 + (x0 + 0.4205161)*(x0*5.7252407 + x1)),PySRFunction(X=>x0*1.2725003e-5 + x2*3.1552463e-5*(x0*x0*(x0 + x0 + x1 + 1.3950541)*x0*(-2.7320342) + x0 + x0 + x1 + (x0 + 0.4205161)*(x0*5.7252407 + x1)))
