Hz,voltage_MSE,voltage_eqn,dv_dt_eqn
9,0.0025554741039856936,-0.300561180715359*sin(56.6441873916032*x0 + 1.57540579546563) - 0.0496484756675223,-17.0250438430823*cos(56.6441873916032*x0 + 1.57540579546563)
36,0.0016484094252798918,0.299894563526984*sin(228.449287868794*x0 - 1.55129181346913) - 0.0496859862566539,68.5106994734622*cos(228.449287868794*x0 - 1.55129181346913)
45,0.0008073179178751992,0.299660625396152*sin(284.625343864382*x0 - 1.54596083271415) - 0.049673003652098,85.2910085459954*cos(284.625343864382*x0 - 1.54596083271415)
54,0.0007969839258834473,0.299446190917175*sin(340.801395420366*x0 - 1.54046698923856) - 0.0497204606801499,102.051679717886*cos(340.801395420366*x0 - 1.54046698923856)
63,0.00036603472779456496,0.299258687598612*sin(396.977449869288*x0 - 1.53486923816247) - 0.0497023596742786,118.798950654127*cos(396.977449869288*x0 - 1.53486923816247)
72,0.0003508807864814952,-0.299092108283495*sin(453.153498264889*x0 + 1.61239993861215) - 0.0496930059647394,-135.534635172087*cos(453.153498264889*x0 + 1.61239993861215)
81,0.00034143161023740667,-0.298948197312877*sin(509.329556264253*x0 + 1.61811251391648) - 0.0496719547056129,-152.263152683366*cos(509.329556264253*x0 + 1.61811251391648)
90,0.0003372667764354513,0.298815210542029*sin(569.250688138613*x0 - 1.51734742239279) - 0.0496876674299351,170.100764227334*cos(569.250688138613*x0 - 1.51734742239279)
99,0.00014348987217804976,0.29870248373495*sin(629.17181266733*x0 - 1.51121976488663) - 0.0496793128890372,187.935183139752*cos(629.17181266733*x0 - 1.51121976488663)
