,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8014487e-07,-5.3741087e-7,0.0,-5.37410870000000e-7,PySRFunction(X=>-5.37410870000000E-7)
1,3,4.2403943e-08,x4 * 0.0005248329,0.7232600036608664,x4*0.0005248329,PySRFunction(X=>x4*0.0005248329)
2,5,4.2403936e-08,(x4 * 0.0005247085) + 8.405282e-8,8.253950083014397e-08,x4*0.0005247085 + 8.405282e-8,PySRFunction(X=>x4*0.0005247085 + 8.405282e-8)
3,7,3.8418946e-10,(x4 * 0.00052481383) + (x5 * -0.00028992913),2.351930325385222,x4*0.00052481383 + x5*(-0.00028992913),PySRFunction(X=>x4*0.00052481383 + x5*(-0.00028992913))
4,9,3.8418907e-10,((x5 * -0.00028991883) + 1.4257775e-8) + (x4 * 0.00052483275),5.075623339322976e-07,x4*0.00052483275 + x5*(-0.00028991883) + 1.4257775e-8,PySRFunction(X=>x4*0.00052483275 + x5*(-0.00028991883) + 1.4257775e-8)
5,11,1.5473275e-11,((x7 * 2.7166321e-5) + (x5 * -0.00028991883)) + (x4 * 0.00052483275),1.6060102294804208,x4*0.00052483275 + x5*(-0.00028991883) + x7*2.7166321e-5,PySRFunction(X=>x4*0.00052483275 + x5*(-0.00028991883) + x7*2.7166321e-5)
6,13,1.5472549e-11,(x4 * 0.00052483275) + (((x7 + 0.00052483275) * 2.7166321e-5) + (x5 * -0.00028991883)),2.346035446115038e-05,x4*0.00052483275 + x5*(-0.00028991883) + (x7 + 0.00052483275)*2.7166321e-5,PySRFunction(X=>x4*0.00052483275 + x5*(-0.00028991883) + (x7 + 0.00052483275)*2.7166321e-5)
7,15,1.9777639e-12,(x4 * 0.00052488194) + ((-0.00028992913 * x5) + (2.7124313e-5 * (x7 + (0.19096878 * x6)))),1.028550279226064,x4*0.00052488194 - 0.00028992913*x5 + 2.7124313e-5*(0.19096878*x6 + x7),PySRFunction(X=>x4*0.00052488194 - 0.00028992913*x5 + 2.7124313e-5*(0.19096878*x6 + x7))
8,17,1.9746318e-12,(((x7 + (x3 * (-3.837873 * x6))) * 2.7166321e-5) + (x5 * -0.00028991883)) + (x4 * 0.00052483275),0.0007924562451172392,x4*0.00052483275 + x5*(-0.00028991883) + (x3*(-3.837873)*x6 + x7)*2.7166321e-5,PySRFunction(X=>x4*0.00052483275 + x5*(-0.00028991883) + (x3*(-3.837873)*x6 + x7)*2.7166321e-5)
9,19,9.299207e-13,(2.7166321e-5 * (x7 + (((x6 * -3.837583) + x8) * x3))) + ((x4 * 0.00052483275) + (x5 * -0.00028991883)),0.37651895794033347,x4*0.00052483275 + x5*(-0.00028991883) + 2.7166321e-5*(x3*(x6*(-3.837583) + x8) + x7),PySRFunction(X=>x4*0.00052483275 + x5*(-0.00028991883) + 2.7166321e-5*(x3*(x6*(-3.837583) + x8) + x7))
10,21,7.2628833e-13,((x5 * -0.00028991883) + (2.7166321e-5 * (x7 + (((x9 + (x6 * -3.837583)) + x8) * x3)))) + (x4 * 0.00052483275),0.12357611447603656,x4*0.00052483275 + x5*(-0.00028991883) + 2.7166321e-5*(x3*(x6*(-3.837583) + x8 + x9) + x7),PySRFunction(X=>x4*0.00052483275 + x5*(-0.00028991883) + 2.7166321e-5*(x3*(x6*(-3.837583) + x8 + x9) + x7))
11,23,5.6970433e-13,((x5 * -0.00028991883) + ((x7 + (((x9 + ((x6 * -3.837583) + x8)) + x10) * x3)) * 2.7166321e-5)) + (x4 * 0.00052483275),0.12141478889673947,x4*0.00052483275 + x5*(-0.00028991883) + (x3*(x10 + x6*(-3.837583) + x8 + x9) + x7)*2.7166321e-5,PySRFunction(X=>x4*0.00052483275 + x5*(-0.00028991883) + (x3*(x10 + x6*(-3.837583) + x8 + x9) + x7)*2.7166321e-5)
12,25,3.7393903e-13,((x4 * 0.0005261732) + (x5 * -0.00028988792)) + (((x6 * ((x7 + ((x12 + -3.837587) + (x5 + x5))) * x3)) + x7) * 2.7175533e-5),0.21051237210711332,x4*0.0005261732 + x5*(-0.00028988792) + (x3*x6*(x12 + x5 + x5 + x7 - 3.837587) + x7)*2.7175533e-5,PySRFunction(X=>x4*0.0005261732 + x5*(-0.00028988792) + (x3*x6*(x12 + x5 + x5 + x7 - 3.837587) + x7)*2.7175533e-5)
13,27,2.9592634e-13,(x5 * -0.0002905341) + (((x7 + (x6 * ((((x4 * -1.0597354) + (x5 + (x7 + -3.837587))) + x5) * x3))) * 2.7180944e-5) + (x4 * 0.00052619714)),0.11699109536532638,x4*0.00052619714 + x5*(-0.0002905341) + (x3*x6*(x4*(-1.0597354) + x5 + x5 + x7 - 3.837587) + x7)*2.7180944e-5,PySRFunction(X=>x4*0.00052619714 + x5*(-0.0002905341) + (x3*x6*(x4*(-1.0597354) + x5 + x5 + x7 - 3.837587) + x7)*2.7180944e-5)
14,29,2.8453837e-13,((((((x5 + ((((x4 * -0.9191487) + x7) + x5) * 1.1529531)) + -3.837587) * (x6 * x3)) + x7) * 2.7187654e-5) + (x5 * -0.00029055332)) + (x4 * 0.0005263296),0.01962122967088905,x4*0.0005263296 + x5*(-0.00029055332) + (x3*x6*(x5 + (x4*(-0.9191487) + x5 + x7)*1.1529531 - 3.837587) + x7)*2.7187654e-5,PySRFunction(X=>x4*0.0005263296 + x5*(-0.00029055332) + (x3*x6*(x5 + (x4*(-0.9191487) + x5 + x7)*1.1529531 - 3.837587) + x7)*2.7187654e-5)
